Tipo de Violencia o Discriminación;Procuraduria;Año;Edad de la Victima;Pais o Municipio Vivienda Victima;Nivel Educativo Victima;Estado Familiar Victima;VIOLENCIA PATRIMONIAL;VIOLENCIA PSICOLOGICA;VIOLENCIA FISICA;VIOLENCIA SEXUAL;VIOLENCIA ECONOMICA;VIOLENCIA SIMBOLICA;DISCRIMINACIÓN EN LOS DERECHOS ECONOMICOS Y LABORALES;DISCRIMINACIÓN EN EL DERECHO A LA EDUCACIÓN;DISCRIMINACIÓN EN EL DERECHO A LA PARTICIPACIÓN POLITICA;DISCRIMINACIÓN EN EL DERECHO DE PARTICIPACIÓN EN EL DESARROLLO RURAL;DISCRIMINACIÓN EN LOS DERECHOS A LA SALUD Y OTROS DERECHOS SOCIALES Y CULTURALES;Relación con la persona denunciada
Violencia de Género;La Paz;2017;20;ZACATECOLUCA;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Unión;2017;20;CONCHAGUA;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;San Salvador;2017;20;SAN SALVADOR;Bachiller;Casado(a);0;1;1;1;0;0;0;0;0;0;0;Esposo(a)
Violencia de Género;Santa Ana;2017;20;SONSONATE;1er. Año de Bachillerato;Soltero(a);0;1;0;1;1;0;0;0;0;0;0;Subalterno(a)
Violencia Intrafamiliar;Ahuachapán;2017;20;AHUACHAPAN;1er. Año de Bachillerato;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Ahuachapán;2017;20;AHUACHAPAN;9o Grado;Casado(a);0;1;1;0;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;Ahuachapán;2017;20;TACUBA;7o Grado;Unión no matrimonial;0;1;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;Cabañas;2017;20;SENSUNTEPEQUE;2o Grado;Soltero(a);1;1;0;1;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Chalatenango;2017;20;CHALATENANGO;6o Grado;Soltero(a);0;1;1;1;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;Chalatenango;2017;20;SAN RAFAEL;9o Grado;Viudo(a);0;1;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;Chalatenango;2017;20;SAN RAFAEL;Sin educación académica;Casado(a);0;1;0;0;0;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;La Libertad;2017;20;ACAJUTLA;9o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;La Libertad;2017;20;COLON;Sin educación académica;Casado(a);0;1;1;1;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;La Libertad;2017;20;SAN JUAN OPICO;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;La Paz;2017;20;SANTIAGO NONUALCO;Bachiller;Soltero(a);1;0;1;0;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;La Paz;2017;20;ZACATECOLUCA;Bachiller;Casado(a);1;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;La Paz;2017;20;ZACATECOLUCA;Cursando Universidad;Casado(a);0;1;0;0;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;La Unión;2017;20;CONCHAGUA;3er Grado;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Unión;2017;20;LA UNION;6o Grado;Soltero(a);0;1;1;1;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Unión;2017;20;LA UNION;8o Grado;Soltero(a);0;1;0;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Miguel;2017;20;SAN MIGUEL;1er. Año de Bachillerato;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;20;CUSCATANCINGO;Bachiller;Casado(a);1;1;1;0;1;1;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;20;SAN SALVADOR;3er. Año de Bachillerato;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Es hijo(a) de
Violencia Intrafamiliar;San Salvador;2017;20;SAN SALVADOR;9o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;20;SAN SALVADOR;Bachiller;Soltero(a);1;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;20;SAN SALVADOR;Egresado Universitario;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;20;SAN SALVADOR;Sin educación académica;Casado(a);1;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Santa Ana;2017;20;CHALCHUAPA;7o Grado;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Usulután;2017;20;SAN AGUSTIN;7o Grado;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Usulután;2017;20;USULUTAN;6o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;Ahuachapán;2017;21;AHUACHAPAN;Cursando Universidad;Casado(a);0;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;Cabañas;2017;21;CINQUERA;Sin educación académica;Soltero(a);1;1;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Libertad;2017;21;CIUDAD ARCE;1er. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;21;CIUDAD ARCE;4o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;La Libertad;2017;21;COLON;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;21;QUEZALTEPEQUE;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;21;SANTA TECLA;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;La Libertad;2017;21;SANTA TECLA;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;21;EL SALVADOR;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;21;SAN JUAN NONUALCO;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;21;SAN JUAN TALPA;7o Grado;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Paz;2017;21;SAN RAFAEL OBRAJUELO;Bachiller;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Unión;2017;21;LA UNION;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Unión;2017;21;SANTA ROSA DE LIMA;4o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;21;AYUTUXTEPEQUE;Cursando Universidad;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Es hijo(a) de
Violencia de Género;San Salvador;2017;21;SAN SALVADOR;1er. Año de Bachillerato;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia Intrafamiliar;Ahuachapán;2017;21;SAN MARCOS;Bachiller;Casado(a);1;1;1;0;0;0;0;0;0;0;0;Sobrino(a)
Violencia Intrafamiliar;Ahuachapán;2017;21;SAN MARCOS;Bachiller;Soltero(a);1;1;1;0;0;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;Cabañas;2017;21;JUTIAPA;4o Grado;Soltero(a);1;1;0;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;Cabañas;2017;21;SENSUNTEPEQUE;Cursando Universidad;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Cabañas;2017;21;SENSUNTEPEQUE;Cursando Universidad;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Libertad;2017;21;ANTIGUO CUSCATLAN;Bachiller;Soltero(a);0;1;0;1;1;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia Intrafamiliar;La Libertad;2017;21;CIUDAD ARCE;1er. Año de Bachillerato;Soltero(a);0;1;1;1;1;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;La Libertad;2017;21;CIUDAD ARCE;6o Grado;Casado(a);1;1;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;La Libertad;2017;21;CIUDAD ARCE;6o Grado;Casado(a);1;1;0;0;0;0;0;0;0;0;0;Es hijo(a) de
